username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink
jennajadecb	10/9/16 16:53	1	29	I found love in a hopeless place ( Taco Bell ) (eating fiesta potatoes) (sorry butthole)				7.85267E+17	https://twitter.com/jennajadecb/status/785266896912384000
pineau_ben	10/9/16 16:53	1	2	@realChadJohnson send $100 Taco Bell gift card an I'll tell my friends you're cool		@realChadJohnson		7.85267E+17	https://twitter.com/pineau_ben/status/785266880600649729
Raizzahoney	10/9/16 16:53	0	0	"I don't want to be THAT person but while @tacobell isn't real mexican it at least taste good unlike the food"" at @olivegarden"""		@tacobell @olivegarden		7.85267E+17	https://twitter.com/Raizzahoney/status/785266846471643136
ItsThatHassy	10/9/16 16:52	0	10	Food from Taco Bell is the definition of hit or miss.				7.85267E+17	https://twitter.com/ItsThatHassy/status/785266836082462720
DaBlackB2	10/9/16 16:52	0	0	@TV914 @bsmith8643 good for you!! Well not for the belly aches though. Never had Taco Bell in my life.		@TV914 @bsmith8643		7.85267E+17	https://twitter.com/DaBlackB2/status/785266825600897024
hrshively	10/9/16 16:52	0	0	I'm still genuinely upset that Taco Bell got rid of verde sauce.				7.85267E+17	https://twitter.com/hrshively/status/785266807737192448
ilgriffi	10/9/16 16:52	0	0	Long line for bae @tacobell @getstealz pic.twitter.com/WyocIvHH1N		@tacobell @getstealz		7.85267E+17	https://twitter.com/ilgriffi/status/785266785650106369
MSalenik	10/9/16 16:52	0	0	I love sitting in the Taco Bell drive through for 30 minutes	Westland				
GretzaVega	10/9/16 16:52	0	0	Me compraron taco bell pero no tengo hambre :/				7.85267E+17	https://twitter.com/GretzaVega/status/785266762707181568
sniperking323	10/9/16 16:52	1	1	@Josh_Dunham Sorry. Three hour live tweeting					
ughxkaitlyn	10/9/16 16:52	4	3	"*eats Taco Bell everyday for a week* I'm never gonna eat Taco Bell again."" *eats Taco Bell for a week*"""				7.85267E+17	https://twitter.com/ughxkaitlyn/status/785266735867793408
xo_rachel09	10/9/16 16:52	1	1	@lilpak_k LMAOOO REMEMBER THE PANDA EXPRESS/ TACO BELL WE WENT TO IN WEST ORANGE THAT ONE TIME WITH EVERYONE ?	Hampton				
lover_tacobell	10/9/16 16:52	0	0	@ConnorFranta BABY PREACH		@ConnorFranta		7.85267E+17	https://twitter.com/lover_tacobell/status/785266649532211200
Lucas_Koepke	10/9/16 16:52	0	0	I figured out a new #tacobell strategy: put whipped cream on your #cinnabondelights 					
critdoegel	10/9/16 16:52	0	1	@madgalsiri the most scandelous thing i've ever done was eat mcdonalds and taco bell in the same night ok give me something		@madgalsiri		7.85267E+17	https://twitter.com/critdoegel/status/785266597350871040
lcoxy22	10/9/16 16:52	0	2	Just bought a bunch of healthy groceries. And now I'm at Taco Bell #balance			#balance	7.85267E+17	https://twitter.com/lcoxy22/status/785266594658353152
RenTradewind	10/9/16 16:51	0	7	Omg a guy passed out at the Taco Bell drive through					
LoganGarette	10/9/16 16:51	0	1	Need Taco Bell in my life rn.				7.85266E+17	https://twitter.com/LoganGarette/status/785266434758828032
kamryn_capps	10/9/16 16:51	0	6	with as long as the hope Taco Bell takes					
mciver_mayberry	10/9/16 16:50	1	3	Taco Bell has the worst drive through				7.85266E+17	https://twitter.com/mciver_mayberry/status/785266318786240512
Kolekania	10/9/16 16:50	3	15	If she cooks keep her is she loves Taco Bell wife her down				7.85266E+17	https://twitter.com/Kolekania/status/785266297437171716
skinnypupper	10/9/16 16:50	0	7	i can't eat my Taco Bell rn because i am laughing too hard at this dog pic.twitter.com/xuCo4LC59r				7.85266E+17	https://twitter.com/skinnypupper/status/785266173311119360
_HaL3Y_	10/9/16 16:49	0	0	T bell wouldn't let me add on a chicken quesadilla when I got up to the window					
BennettBay_	10/9/16 16:49	1	12	"Should I spend this money on Taco Bell & Wendy's or ol' girl?"" pic.twitter.com/Wqk3y1R5PW"""	Georgia				
GabrielMangual	10/9/16 16:49	0	1	@_pcstlo estamos pobre so taco bell probablemente		@_pcstlo		7.85266E+17	https://twitter.com/GabrielMangual/status/785265943094190080
BrozachofRukkus	10/9/16 16:49	0	0	@tacobell I'm gonna get blackout and go through Every one		@tacobell		7.85266E+17	https://twitter.com/BrozachofRukkus/status/785265899435495424
Pr0xGaM3z	10/9/16 16:48	0	0	@TimDotTV @PlayStation EAT TACO BELL		@TimDotTV @PlayStation		7.85266E+17	https://twitter.com/Pr0xGaM3z/status/785265837183643648
NinoBeige	10/9/16 16:48	0	0	The shittiest show.... Mixing Ethiopian food with Taco Bell ...Ethiopian food is amazing..still https:// twitter.com/almostkanye/st atus/785265111464185856 ‰Û_				7.85266E+17	https://twitter.com/NinoBeige/status/785265835883593728
cara_pro99	10/9/16 16:48	0	2	I've never craved Taco Bell so bad in my life				7.85266E+17	https://twitter.com/cara_pro99/status/785265797778268160
ad0llaz_	10/9/16 16:48	1	0	I want Taco Bell .				7.85266E+17	https://twitter.com/ad0llaz_/status/785265743214632960
TrethElcair	10/9/16 16:48	0	0	@RenTradewind everyone wants that Taco Bell =P		@RenTradewind		7.85266E+17	https://twitter.com/TrethElcair/status/785265685735759872
imshitheadb	10/9/16 16:48	0	4	Jojo is the Taco Bell dog pic.twitter.com/zobGWJhDfv				7.85266E+17	https://twitter.com/imshitheadb/status/785265659496140800
chelseelin21	10/9/16 16:48	0	8	My boss brought me taco bell to work and now I'm getting paid to sit at the bar top while watching Pitch Perfect #solid			#solid	7.85266E+17	https://twitter.com/chelseelin21/status/785265607906242561
Wake_Up_MrWest_	10/9/16 16:48	0	2	Today I took the metra home with a bunch of people who ran the marathon. They ran 26.2 miles for fun. I spent $12 on taco bell . #WhatIsLife			#WhatIsLife	7.85266E+17	https://twitter.com/Wake_Up_MrWest_/status/785265603204550657
JoshyPooo11	10/9/16 16:47	0	0	Sing this with me while we get tacobell at 2AM please https:// twitter.com/IndieAltTunes/ status/784271752117440512 ‰Û_				7.85266E+17	https://twitter.com/JoshyPooo11/status/785265570463813632
ManForgotUs	10/9/16 16:47	0	0	This is old news					
Kaylakins_	10/9/16 16:47	0	0	I think Raylan had Taco Bell and I can smell it and now I want Taco Bell				7.85266E+17	https://twitter.com/Kaylakins_/status/785265562981203968
amanda__rose21	10/9/16 16:47	0	2	Pretty sure I just fell in love with the guy from Taco Bell .				7.85266E+17	https://twitter.com/amanda__rose21/status/785265548582006785
donaldjdumbass	10/9/16 16:47	0	0	RT: @tacobell If either candidate says pussy in tonight's debate					
tacobell	10/9/16 16:47	0	0	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/5aBAHxrhLJ		@BrozachofRukkus	#TacoEmojiEngine	7.85265E+17	https://twitter.com/tacobell/status/785265489769443328
BrozachofRukkus	10/9/16 16:47	0	0	@tacobell		@tacobell		7.85265E+17	https://twitter.com/BrozachofRukkus/status/785265471490625536
bridgettheresaa	10/9/16 16:47	1	1	Me and justine are straight living off of taco bell				7.85265E+17	https://twitter.com/bridgettheresaa/status/785265403589255168
TV914	10/9/16 16:46	1	1	@bsmith8643 @DaBlackB2 tonight we had power bowls from Taco Bell ... just did not feel like cooking #bellyache		@bsmith8643 @DaBlackB2	#bellyache	7.85265E+17	https://twitter.com/TV914/status/785265333628121088
tacobell	10/9/16 16:46	0	1	@_MrGhostie Awesome tweet. May we use it on our site? To agree					
tacobell	10/9/16 16:46	0	1	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/8lBWaP1fhQ		@BrozachofRukkus	#TacoEmojiEngine	7.85265E+17	https://twitter.com/tacobell/status/785265211934593024
BrozachofRukkus	10/9/16 16:46	0	0	@tacobell		@tacobell		7.85265E+17	https://twitter.com/BrozachofRukkus/status/785265188601597952
haas_alec	10/9/16 16:45	0	2	When your girl comes in clutch with taco bell @_maddiiieee pic.twitter.com/OXdPDZh1je		@_maddiiieee		7.85265E+17	https://twitter.com/haas_alec/status/785265074072121344
BrozachofRukkus	10/9/16 16:45	0	0	@tacobell you really have one for everything don't u		@tacobell		7.85265E+17	https://twitter.com/BrozachofRukkus/status/785264915619557377
RenTradewind	10/9/16 16:45	0	2	This Taco Bell line is really quite the entertaining spectacle of confused motorists				7.85265E+17	https://twitter.com/RenTradewind/status/785264903108059136
Eli__Bowers	10/9/16 16:45	4	9	I need Taco Bell				7.85265E+17	https://twitter.com/Eli__Bowers/status/785264841099476993
Dreysander1	10/9/16 16:44	0	2	@RenTradewind .... now I want Taco Bell . I had teriyaki roasted veg and tofu tho which was good.		@RenTradewind		7.85265E+17	https://twitter.com/Dreysander1/status/785264819167518721
Jhohoho94	10/9/16 16:44	0	3	@laurdelguidice you saved my life with that taco bell		@laurdelguidice		7.85265E+17	https://twitter.com/Jhohoho94/status/785264806148337664
abrissverlierer	10/9/16 16:44	0	0	@symphonychild no it's not!! There's a song about combination pizza hut and Taco Bell 's		@symphonychild		7.85265E+17	https://twitter.com/abrissverlierer/status/785264795742330880
Jose_Galvan	10/9/16 16:44	0	0	@trumwill So...I like Del Taco over Taco Bell but anything with fries is ok!		@trumwill		7.85265E+17	https://twitter.com/Jose_Galvan/status/785264719133147136
tacobell	10/9/16 16:44	0	0	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/WISJt0shwo		@BrozachofRukkus	#TacoEmojiEngine	7.85265E+17	https://twitter.com/tacobell/status/785264681631948800
BrozachofRukkus	10/9/16 16:44	0	0	@tacobell		@tacobell		7.85265E+17	https://twitter.com/BrozachofRukkus/status/785264661989949440
beccattttt	10/9/16 16:44	0	10	"*at taco bell drive thru* i owe you two cents"" micah: ""listen ma'am i don't need your two cents"""""				7.85265E+17	https://twitter.com/beccattttt/status/785264653169340416
RenTradewind	10/9/16 16:44	0	9	Getting Taco Bell for dinner					
XBOX_AEK7	10/9/16 16:44	0	1	@Tacobell You should totally set up a mountain-dew poll in your resteraunts for the election? BAHA or SAN.		@Tacobell		7.85265E+17	https://twitter.com/XBOX_AEK7/status/785264596873519108
RDejarlar	10/9/16 16:43	0	0	Maroon 5 @Taco Bell arena!!!!	Boise				
Dessi_Campbell	10/9/16 16:43	0	1	Who wants to come to Taco Bell arena and hang out with me yo				7.85264E+17	https://twitter.com/Dessi_Campbell/status/785264488672927744
Shane_DB	10/9/16 16:43	0	3	I'm headed to Taco Bell mane				7.85264E+17	https://twitter.com/Shane_DB/status/785264440073596928
Shaaaaaw_	10/9/16 16:43	0	0	Taco Bell so clutch after work				7.85264E+17	https://twitter.com/Shaaaaaw_/status/785264426349793280
symphonychild	10/9/16 16:43	0	0	@abrissverlierer that's even weirder than Taco Bell KFC what even		@abrissverlierer		7.85264E+17	https://twitter.com/symphonychild/status/785264368443240448
brileymac11	10/9/16 16:43	0	4	Just ordered 24 tacos at Taco Bell .... how's ur life?				7.85264E+17	https://twitter.com/brileymac11/status/785264333127163905
meghanwith_anh	10/9/16 16:42	0	6	Taco Bell tastes best while you're trying to eat it as fast as you can waiting in line for a Cubs game				7.85264E+17	https://twitter.com/meghanwith_anh/status/785264317658701824
meghendo12	10/9/16 16:42	1	11	It's a sad day when you have to get Taco Bell by yourself				7.85264E+17	https://twitter.com/meghendo12/status/785264280677515264
tacobell	10/9/16 16:42	0	0	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/qiSkJKQdN3		@BrozachofRukkus	#TacoEmojiEngine	7.85264E+17	https://twitter.com/tacobell/status/785264270476836864
BrozachofRukkus	10/9/16 16:42	0	0	@tacobell		@tacobell		7.85264E+17	https://twitter.com/BrozachofRukkus/status/785264241771024384
KelseyMonk	10/9/16 16:42	0	8	My grandpa just pointed to a Taco Bell and said I've never been to one of those and my heart broke for him a little.				7.85264E+17	https://twitter.com/KelseyMonk/status/785264213950365696
marissa_marie2	10/9/16 16:42	0	0	@marissa_marie2 just kidding she's getting me taco bell now		@marissa_marie2		7.85264E+17	https://twitter.com/marissa_marie2/status/785264199345864704
stilinskishank	10/9/16 16:42	1	2	@fuckyeahbrendon @punkdirtysoul @sttarsout dividindo taco bell com Tyler Joseph enquanto estÌÁ todo mundo se matando sim eu mesma		@fuckyeahbrendon @punkdirtysoul @sttarsout		7.85264E+17	https://twitter.com/stilinskishank/status/785264186691579904
blowpopsreviews	10/9/16 16:42	0	0	I'm at Taco Bell in Moreno Valley					
maneelalatifi	10/9/16 16:42	0	1	we ordered Taco Bell on joy run and didn't know what ETA meant				7.85264E+17	https://twitter.com/maneelalatifi/status/785264132798812160
thelinell	10/9/16 16:42	0	0	Just heard a lady at Taco Bell trying to order a cheeseburger.				7.85264E+17	https://twitter.com/thelinell/status/785264084425936896
gouldenmalik13	10/9/16 16:41	0	0	I had Taco Bell for lunch and now I want it again for dinner				7.85264E+17	https://twitter.com/gouldenmalik13/status/785264071893393408
Shaaaaaw_	10/9/16 16:41	1	2	They sent me and @chrisbmelendez home early and we dipped out to Taco Bell so quick lmao		@chrisbmelendez		7.85264E+17	https://twitter.com/Shaaaaaw_/status/785264032819261441
LaGroneMadison	10/9/16 16:41	0	8	I could live off of those Cinnabon delights from Taco Bell . So yummy				7.85264E+17	https://twitter.com/LaGroneMadison/status/785264014573969408
JaidenHart1	10/9/16 16:41	0	0	I hate when Taco Bell runs out of Baja blast				7.85264E+17	https://twitter.com/JaidenHart1/status/785263975961337856
BenSimons28	10/9/16 16:41	0	1	@MensHumor @vine when the Taco Bell hits!!!!		@MensHumor @vine		7.85264E+17	https://twitter.com/BenSimons28/status/785263874178068480
tacobell	10/9/16 16:41	0	0	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/IutM7g1je7		@BrozachofRukkus	#TacoEmojiEngine	7.85264E+17	https://twitter.com/tacobell/status/785263857623183360
BrozachofRukkus	10/9/16 16:41	0	0	@tacobell		@tacobell		7.85264E+17	https://twitter.com/BrozachofRukkus/status/785263842863435778
flowersashley13	10/9/16 16:40	0	0	Taco Bell makes me happiest				7.85264E+17	https://twitter.com/flowersashley13/status/785263780141948928
BraydenMBerthot	10/9/16 16:40	3	11	Chanute needs an A&W and a Taco Bell .				7.85264E+17	https://twitter.com/BraydenMBerthot/status/785263772701044736
phigggs	10/9/16 16:40	0	3	@deargeoff21 shut up queer bate					
KrishanMistry_	10/9/16 16:40	1	0	Taco Bell is so buff				7.85264E+17	https://twitter.com/KrishanMistry_/status/785263715667042305
BrozachofRukkus	10/9/16 16:39	0	1	@tacobell @SenseiAhrenn		@tacobell @SenseiAhrenn		7.85264E+17	https://twitter.com/BrozachofRukkus/status/785263539057364993
crysiwhit	10/9/16 16:39	0	0	@leokushimizo I know bb I finally found a Taco Bell		@leokushimizo		7.85264E+17	https://twitter.com/crysiwhit/status/785263523798671361
BuddyGrizzard	10/9/16 16:39	0	2	By the way @THESagerbomb was talking mad trash about the #Falcons I believe she went to Taco Bell for some Crow Tacos.		@THESagerbomb	#Falcons	7.85263E+17	https://twitter.com/BuddyGrizzard/status/785263444320776192
_lilysmithh	10/9/16 16:39	1	1	I just want some taco bell				7.85263E+17	https://twitter.com/_lilysmithh/status/785263429514919936
tacobell	10/9/16 16:39	0	0	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/PWBubs3WQl		@BrozachofRukkus	#TacoEmojiEngine	7.85263E+17	https://twitter.com/tacobell/status/785263409948266497
YSL_dizz	10/9/16 16:39	0	0	taco bell or kfc				7.85263E+17	https://twitter.com/YSL_dizz/status/785263409520635904
Dope_Evolution	10/9/16 16:39	0	0	Taco Bell				7.85263E+17	https://twitter.com/Dope_Evolution/status/785263409260625920
BrozachofRukkus	10/9/16 16:39	0	0	@tacobell		@tacobell		7.85263E+17	https://twitter.com/BrozachofRukkus/status/785263393007558656
Arncastillo07	10/9/16 16:38	0	0	De nuevo aquÌ_ (@Taco Bell in San Francisco					
hybridmcments	10/9/16 16:38	0	0	@reigionalatbest taco bell is dieting					
zahalikes2laugh	10/9/16 16:38	0	0	Should I risk my life and go to taco bell ?				7.85263E+17	https://twitter.com/zahalikes2laugh/status/785263170822680577
shslkamukura	10/9/16 16:38	0	0	postmates finally here with my taco bell				7.85263E+17	https://twitter.com/shslkamukura/status/785263166519406592
vinokane666	10/9/16 16:38	0	1	@JohnPaulFutbol on my way to Taco Bell .		@JohnPaulFutbol		7.85263E+17	https://twitter.com/vinokane666/status/785263121388675072
MBT4000	10/9/16 16:38	0	0	" Taco Bell 2011? Nope!"" -Cameron #Bot4k"""			#Bot4k	7.85263E+17	https://twitter.com/MBT4000/status/785263073892311042
iambobbylh3	10/9/16 16:37	0	0	Somebody bring me taco bell	Brenham				
tacobell	10/9/16 16:37	0	0	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/gfIcwwpC75		@BrozachofRukkus	#TacoEmojiEngine	7.85263E+17	https://twitter.com/tacobell/status/785262932774969344
BrozachofRukkus	10/9/16 16:37	0	0	@tacobell		@tacobell		7.85263E+17	https://twitter.com/BrozachofRukkus/status/785262916983328768
clsolano	10/9/16 16:37	2	2	cinnabons from taco bell				7.85263E+17	https://twitter.com/clsolano/status/785262916127686656
Steve_h_swag	10/9/16 16:37	0	1	I love you @tacobell		@tacobell		7.85263E+17	https://twitter.com/Steve_h_swag/status/785262866349887496
Julian_Ibagon	10/9/16 16:36	0	4	"One last night of self-wallowing and Taco Bell overdosing"" I tell myself for the third night in a row."""	Altamonte Springs				
alexcoogan1	10/9/16 16:36	0	0	Taco Bell Has Low Key Become One of America‰Ûªs Healthiest Fast Food Chains http:// fb.me/58kKv6TrZ				7.85263E+17	https://twitter.com/alexcoogan1/status/785262809005355009
Itscluff	10/9/16 16:36	1	5	Cassidy randomly showed up to my house with Taco Bell and I think she's the love of my life				7.85263E+17	https://twitter.com/Itscluff/status/785262671243382784
tacobell	10/9/16 16:36	0	1	@BrozachofRukkus #TacoEmojiEngine pic.twitter.com/vG9qpRXaer		@BrozachofRukkus	#TacoEmojiEngine	7.85263E+17	https://twitter.com/tacobell/status/785262662921793537
BrozachofRukkus	10/9/16 16:36	0	0	@tacobell		@tacobell		7.85263E+17	https://twitter.com/BrozachofRukkus/status/785262645469327362
traceriddle	10/9/16 16:36	0	2	Shoutout Josh at Taco Bell for hookin it up				7.85263E+17	https://twitter.com/traceriddle/status/785262587227299840
idek_arianna	10/9/16 16:35	0	1	When @tacobell asks you why you're satisfied pic.twitter.com/kE8yeUIJtG		@tacobell		7.85263E+17	https://twitter.com/idek_arianna/status/785262542369067008
xoxo_SHONTE	10/9/16 16:35	0	0	Taco Bell happy hour is from 2-5 I could've sworn it was from 2-4				7.85263E+17	https://twitter.com/xoxo_SHONTE/status/785262519023759361
___LOOSHESS	10/9/16 16:35	0	0	Taco Bell off the				7.85262E+17	https://twitter.com/___LOOSHESS/status/785262482214584324
clay_calegari	10/9/16 16:35	1	1	FaceTime Kay and of course her fat ass is eating Taco Bell by herself				7.85262E+17	https://twitter.com/clay_calegari/status/785262456813686784
MarvelousHunt	10/9/16 16:35	0	0	@JustinRoiland Taco Bell 's giving them away. Eat more tacos! :D		@JustinRoiland		7.85262E+17	https://twitter.com/MarvelousHunt/status/785262440334393345
blissfvlly	10/9/16 16:35	0	0	anyone who buys me Taco Bell has a spot in my heart				7.85262E+17	https://twitter.com/blissfvlly/status/785262438484733954
PeterJDiLorenzo	10/9/16 16:35	0	0	@tacobell bring back the green		@tacobell		7.85262E+17	https://twitter.com/PeterJDiLorenzo/status/785262432356864000
breanna_arlien	10/9/16 16:35	1	3	When I ask kaori where she wants to eat and she says Taco Bell #ThisKidHasMyHeart			#ThisKidHasMyHeart	7.85262E+17	https://twitter.com/breanna_arlien/status/785262408818421760
RamiahRamie	10/9/16 16:35	1	6	Never seen anyone move so fast as @swillie31 when I said FUCK it					
David_Hey_Man	10/9/16 16:35	0	0	"Taco Bell is becoming lowkey healthy"""""				7.85262E+17	https://twitter.com/David_Hey_Man/status/785262354153951233
ShitMyHubbySay2	10/9/16 16:35	0	0	Hubs instinctively protects his Taco Bell while driving. Don't come between a man and his food I guess lol pic.twitter.com/YOzOWcs3ks				7.85262E+17	https://twitter.com/ShitMyHubbySay2/status/785262320280739841
SarahGracieTT	10/9/16 16:34	2	14	TACO BELL				7.85262E+17	https://twitter.com/SarahGracieTT/status/785262253809528832
WrestleWGlitter	10/9/16 16:34	0	2	Me to every taco I've ever met: @tacobell pic.twitter.com/1BDv7Ky00m		@tacobell		7.85262E+17	https://twitter.com/WrestleWGlitter/status/785262248444829696
bobboose	10/9/16 16:34	0	0	#tacobell Cheddar Habanero Quesarito are so on point!!			#tacobell	7.85262E+17	https://twitter.com/bobboose/status/785262222255816704
2min4roughing	10/9/16 16:34	0	2	@evilminion1of1 Don't get me wrong. I LOVE tacos					
leonardchvrches	10/9/16 16:33	0	1	@leonardchvrches me @taco bell : listen just don't tell me what's in it and I'll eat anything		@leonardchvrches @taco		7.85262E+17	https://twitter.com/leonardchvrches/status/785261867505586176
tacobell	10/9/16 16:32	0	0	@fuereu685 #TacoEmojiEngine pic.twitter.com/ZfmBxzAkMU		@fuereu685	#TacoEmojiEngine	7.85262E+17	https://twitter.com/tacobell/status/785261781333573632
PabloCarr01	10/9/16 16:32	0	0	Taco Bell 					
jocelynangulo3	10/9/16 16:32	2	2	I want Taco Bell	California				
2min4roughing	10/9/16 16:32	0	5	I have Taco Bell and I don't know why				7.85262E+17	https://twitter.com/2min4roughing/status/785261654502236161
PapaNarsy	10/9/16 16:32	0	0	Taco Bell only hits when it's the right time.				7.85262E+17	https://twitter.com/PapaNarsy/status/785261608985587712
Shwax	10/9/16 16:32	0	0	So I need dinner... homemade short rib nachos? Or just go to taco bell ?				7.85262E+17	https://twitter.com/Shwax/status/785261571199143937
itscariyo_	10/9/16 16:32	1	0	@valeriepaige11 if i could i'd bring you taco bell		@valeriepaige11		7.85262E+17	https://twitter.com/itscariyo_/status/785261566165852160
TiffaniAlia	10/9/16 16:31	1	2	Taco Bell /Tops/Wegmans parking lot. Loitering. https:// twitter.com/alyssakeiko/st atus/785258757651660800 ‰Û_				7.85262E+17	https://twitter.com/TiffaniAlia/status/785261511493160960
Hoag_Hunter	10/9/16 16:31	0	1	Taco Bell				7.85261E+17	https://twitter.com/Hoag_Hunter/status/785261478995558400
sarahmiller3830	10/9/16 16:31	0	0	They changed the $5 cravings box at Taco Bell and now it comes with less stuff??				7.85261E+17	https://twitter.com/sarahmiller3830/status/785261355100086272
djdavidjett	10/9/16 16:31	0	0	Hey					
